id,sport_name,beach_name,organizer_name,phone,email,timings,cost,user_name
0,Parasailing,Golem Beach,Gary Nichols,3798981598,Gary@hotmail.com,07:00 - 17:00,5927,Owner
1,Scuba Diving,Mango Beach,Arlene Hardman,9160755004,Arlene@outlook.com,13:00 - 14:00,5588,Owner
2,Snorkelling,Livadhi Beach,Walter Buck,9482143054,Walter@yahoo.com,21:00 - 23:00,3405,Owner
3,Snorkelling,Jali Beach,Polly Harrell,8742330734,Polly@hotmail.com,24:00 - 11:00,5657,Owner
4,Parasailing,Orikum Beach,Gary Hutchison,8884710466,Gary@yahoo.com,14:00 - 13:00,2976,Owner
5,Scuba Diving,Mango Beach,Joseph Smith,4364220403,Joseph@gmail.com,15:00 - 19:00,1695,Owner
6,Scuba Diving,Palasa Beach,Denise Anderson,7626299053,Denise@gmail.com,21:00 - 07:00,5901,Owner
7,Jet Skiing,Mango Beach,Carlos Carrington,3424346216,Carlos@gmail.com,22:00 - 24:00,5277,Owner
8,Snorkelling,Lukova Beach,Delma Odonnell,7761601465,Delma@outlook.com,11:00 - 02:00,7415,Owner
9,Jet Skiing,Dhërmi Beach,Rachel James,406761091,Rachel@hotmail.com,18:00 - 16:00,768,Owner
10,Parasailing,Gjipe Beach,Brian Saenz,9967948342,Brian@hotmail.com,09:00 - 17:00,626,Owner
11,Parasailing,Mirror Beach,Ann Newsom,9755337733,Ann@outlook.com,03:00 - 24:00,2064,Owner
12,Parasailing,Mango Beach,Shannan Carrier,5923805543,Shannan@yahoo.com,21:00 - 01:00,749,Owner
13,Snorkelling,Les Aiguades Beach,Jermaine Newman,9997068627,Jermaine@gmail.com,14:00 - 18:00,1701,Owner
14,Parasailing,Gjipe Beach,Arthur Walker,8980406535,Arthur@outlook.com,06:00 - 22:00,6146,Owner
15,Jet Skiing,Lukova Beach,Ronnie Burnett,681108180,Ronnie@yahoo.com,10:00 - 04:00,2783,Owner
16,Scuba Diving,Livadhi Beach,Ruth Stein,1304889864,Ruth@outlook.com,16:00 - 22:00,5852,Owner
17,Jet Skiing,Orikum Beach,Patricia Hill,1321814837,Patricia@yahoo.com,00:00 - 22:00,3149,Owner
18,Scuba Diving,Orikum Beach,Shoshana Brown,8448081631,Shoshana@outlook.com,18:00 - 05:00,1196,Owner
19,Parasailing,Dhërmi Beach,Bob Norton,3707166616,Bob@outlook.com,23:00 - 06:00,4392,Owner
20,Scuba Diving,Mirror Beach,Michele Sharp,7769727663,Michele@outlook.com,01:00 - 20:00,3955,Owner
21,Snorkelling,Sidi Addelkader Beach,Rodney Moore,6093100800,Rodney@gmail.com,19:00 - 21:00,6028,Owner
22,Parasailing,Narta Beach,Leslie Harvey,2194313285,Leslie@gmail.com,22:00 - 24:00,4124,Owner
23,Scuba Diving,Sahel Beach,Milton Trammell,4808335800,Milton@hotmail.com,21:00 - 00:00,3678,Owner
24,Parasailing,Narta Beach,George Hall,1537223117,George@gmail.com,15:00 - 06:00,3710,Owner
25,Parasailing,Palasa Beach,Jeremiah Campas,9917645214,Jeremiah@hotmail.com,15:00 - 10:00,6000,Owner
26,Parasailing,Narta Beach,Natalie Alonzo,7834798964,Natalie@hotmail.com,04:00 - 19:00,1623,Owner
27,Parasailing,Livadhi Beach,Robert Perry,968333312,Robert@hotmail.com,20:00 - 08:00,5139,Owner
28,Scuba Diving,Borsh Beach,Brian Jones,2936976432,Brian@hotmail.com,01:00 - 00:00,5316,Owner
29,Scuba Diving,Livadhi Beach,David Barksdale,4317519752,David@gmail.com,16:00 - 19:00,2246,Owner
30,Snorkelling,Mirror Beach,Calvin Nelson,6779906227,Calvin@hotmail.com,07:00 - 14:00,5030,Owner
31,Parasailing,Buneci Beach,Cynthia Holliday,9291129303,Cynthia@yahoo.com,01:00 - 18:00,1389,Owner
32,Scuba Diving,Golem Beach,Jennifer Gransberry,6250549216,Jennifer@yahoo.com,15:00 - 09:00,7504,Owner
33,Scuba Diving,Dhërmi Beach,William Lorenz,6932962755,William@gmail.com,17:00 - 18:00,2122,Owner
34,Snorkelling,Les Aiguades Beach,Alfonso Ward,1236654856,Alfonso@gmail.com,13:00 - 17:00,3165,Owner
35,Scuba Diving,Llamani Beach,Richard Hacher,2005457432,Richard@hotmail.com,23:00 - 09:00,4399,Owner
36,Jet Skiing,Dhërmi Beach,Karen Edington,7050484496,Karen@gmail.com,09:00 - 00:00,6735,Owner
37,Jet Skiing,Dhërmi Beach,Dorothy Steiner,2521395999,Dorothy@hotmail.com,20:00 - 10:00,1666,Owner
38,Parasailing,Ksamil Beach,Seth Burns,3383176340,Seth@hotmail.com,17:00 - 13:00,4900,Owner
39,Jet Skiing,Ain Achir Beach,Eric Glidden,7323405455,Eric@hotmail.com,00:00 - 02:00,4675,Owner
40,Parasailing,Jali Beach,James Humphries,2490257154,James@gmail.com,03:00 - 22:00,4174,Owner
41,Parasailing,Ain Achir Beach,John Burchfield,7579036627,John@outlook.com,08:00 - 07:00,5496,Owner
42,Scuba Diving,Sahel Beach,Lawrence Sparling,5061273151,Lawrence@hotmail.com,21:00 - 23:00,3354,Owner
43,Jet Skiing,Buneci Beach,George Crandall,5694090029,George@outlook.com,16:00 - 17:00,2369,Owner
44,Snorkelling,Livadhi Beach,Lorraine Nolan,8502496570,Lorraine@yahoo.com,12:00 - 00:00,4565,Owner
45,Parasailing,Ain Achir Beach,Cheryl Cook,520210068,Cheryl@yahoo.com,21:00 - 13:00,5005,Owner
46,Scuba Diving,Livadhi Beach,Bertie Mcclain,4348220084,Bertie@yahoo.com,09:00 - 05:00,3846,Owner
47,Snorkelling,Potami Beach,Christina Shepard,4955665888,Christina@gmail.com,00:00 - 01:00,2357,Owner
48,Snorkelling,Palasa Beach,Richard Palumbo,2131517914,Richard@gmail.com,06:00 - 08:00,7721,Owner
49,Scuba Diving,Lukova Beach,Kevin Schroeder,6977118619,Kevin@gmail.com,04:00 - 07:00,3484,Owner
50,Jet Skiing,Playa Unión,Laura Gaston,7127626271,Laura@outlook.com,19:00 - 21:00,2770,Owner
51,Scuba Diving,Playa Mar de Ajo,Seth Reedy,4494357313,Seth@hotmail.com,22:00 - 20:00,6373,Owner
52,Parasailing,Arashi Beach,Charles Reynolds,5461496751,Charles@hotmail.com,23:00 - 24:00,4022,Owner
53,Jet Skiing,Savaneta Beach,Kathy Escobedo,5032357488,Kathy@outlook.com,15:00 - 20:00,6126,Owner
54,Scuba Diving,Eagle Beach,Thomas Terrill,6057891309,Thomas@gmail.com,24:00 - 07:00,5464,Owner
55,Jet Skiing,Playa Mar de Ajo,Lindsey Trongone,5320735375,Lindsey@gmail.com,01:00 - 17:00,7437,Owner
56,Parasailing,Savaneta Beach,Roger Lowe,75516618,Roger@gmail.com,17:00 - 06:00,2566,Owner
57,Snorkelling,Malmok Beach,Norman Jackson,7082330432,Norman@outlook.com,15:00 - 14:00,1956,Owner
58,Snorkelling,Playa Mar de Ajo,Nancy Lawson,2462742836,Nancy@outlook.com,03:00 - 19:00,2437,Owner
59,Parasailing,Playa Bristol,Theodore Gomez,1221295256,Theodore@yahoo.com,02:00 - 05:00,4094,Owner
60,Scuba Diving,Arashi Beach,Gale Rodriguez,7430251849,Gale@yahoo.com,00:00 - 18:00,1095,Owner
61,Jet Skiing,Malmok Beach,Evonne Vick,3030844963,Evonne@outlook.com,03:00 - 20:00,3940,Owner
62,Jet Skiing,Las Grutas,Gerald Mcculley,9920177872,Gerald@yahoo.com,01:00 - 05:00,5453,Owner
63,Scuba Diving,Manchebo Beach,Leticia Phillips,3732471648,Leticia@outlook.com,18:00 - 19:00,6729,Owner
64,Jet Skiing,Baby Beach,Cinthia Dunning,6748538277,Cinthia@gmail.com,04:00 - 08:00,5090,Owner
65,Parasailing,Boca Catalina,John Gray,1622485011,John@yahoo.com,01:00 - 13:00,7420,Owner
66,Scuba Diving,Madegh Beach,Emma Conley,2972448644,Emma@yahoo.com,04:00 - 24:00,1948,Owner
67,Snorkelling,Playa Unión,Susan Washington,9201020259,Susan@gmail.com,19:00 - 01:00,3683,Owner
68,Parasailing,Las Grutas,Danny Monroy,2765465406,Danny@yahoo.com,22:00 - 12:00,7920,Owner
